Protein Class	Genes
Calcium-Binding Protein	ACTN4;CUBN;NOL3;EFEMP2;COL1A1;SPTA1;PRKCG;THBD;CAPN1;MYL3;CALM1;MYL2;ARSB;CHN1;PLCG2;CAPN3;CASQ1;AKT1;AKT2;FBN1;NOTCH1;PSEN1;TNNC1;HPCA;STIM1;MICU1;AKT3;SLIT2;PRKCA;SRI;NCS1;CRB1;MYH14;MASTL;PLCE1
Cell Adhesion Molecule	EFEMP2;F8;ITGB3;ITGB2;ITGA2B;F5;CDH1;GP1BB;GP9;JUP;ITGB4;EPCAM;VCL;ITGB6;CDH3;MPZ;CTNNA1;CTNNB1;FBN1;DSC2;DSG2;TGFBI;USH1G;EDA;NSMCE3;NECTIN4;PCDH15;ISCU;NECTIN3;FLRT3;CD207;RS1;SCN2B;THBS1;SPARC;ITGA4;SCRIB;CDON;NLGN4X;CDH23
Cell Junction Protein	DHH;ANG;GJB1;GJA1;FLNA;GJB2;HOXA13;NKX2-5;DSC2;MYO7A;DSG2;IHH;SHH;ALX4;DLL4;FLRT3;HESX1;NOTCH3;FLT1;SCRIB;MARVELD2;FLCN;BICC1;COLQ
Chaperone	AIP;HTRA2;CRYAB;HSPB1;P4HB;HSPD1;DNAJB2;SNCA;HSPA9;CCT5;PEX3;YWHAG;HIKESHI;MMAA;COQ8A;HTRA1;OPTN;DNAJC12;MAN1B1;NFU1;HSPB6;TOR1A;TRAP1;DNAJC17;AHSP;SACS;AIPL1, LYRM4
Cytoskeletal Protein	KIF2A;TULP1;EML1;DNM1L;BIN1;KRIT1;SPTBN2;TCAP;MEFV;ACTN4;FLNB;CRYAB;KRT14;SPTA1;ANG;PRNP;KRT1;PFN1;MYL3;MAPT;MYL2;SPTB;DMD;ACTN1;KRT10;KRT5;JUP;DSP;VCL;TNNI3;FLNA;TUBG1;MSN;HOXA13;CTNNA1;CTNNB1;NF2;ACTN2;WAS;NOTCH1;EMD;CSRP3;DNM2;HCFC1;MYOM1;KIF11;ACTB;ACTG1;TNNC1;ANK2;CENPE;DNM1;KIF1A;MYO7A;DCTN1;DYNC1H1;FLNC;KIF22;MYLK;MAPKAPK3;KIF7;TUBA1A;TRAF3IP1;OPTN;PKP2;ARL6;GAN;KLHL3;USH1C;LMNA;GSN;TPM1;MYH7;EZR;TUBB3;MYBPC3;MYH14;DOCK2;PDCD10;PDZD7;MYOT;SPAST;SUN2
Defense/Immunity protein	MEFV;TYROBP;BCL10;C3;C5;CD4;CD8A;C1QB;C1QC;APOH;CFI;UMOD;CFH;VIM;GHR;CD59;IFNGR1;CSF2RA;IGLL1;CTLA4;PRLR;CD247;IL2RG;IFNGR2;TNFRSF4;B2M;C1QBP;FADD;IL10RA;HFE;TMEM173;OPTN;NECTIN4;CSF3R;COLEC11;CARD11;GP6;CD207;PSTPIP1;SH2D1A;A2M;LDLR;GYPA;C2;C8A;C6;CD46;CD79B;LIFR;LEPR;ADAR;TIRAP;MST1R;IL10RB;NLRP3;NLRP1;LY96
Enzyme Modulator	DNM1L;PIK3R2;KRIT1;TCAP;ARHGEF9;TYROBP;PQBP1;HERC2;BCL10;PAH;SPINK1;SERPINC1;SERPINA1;SERPINA3;AGT;C3;C5;CST3;NRAS;HRAS;APOA1;APOE;CSTB;VWF;APP;SERPING1;SERPINA7;SERPIND1;SERPINA6;GNAI3;NCF1;RAC2;ARSB;PLCG2;RASA1;KITLG;IGFBP4;PLN;PIK3R1;PYCR1;NF2;CDKN1B;DNM2;ARHGDIA;CTSC;CDC42;RHOA;GNB1;XIAP;DNM1;SOS1;MYO7A;PKD2;GCKR;EFTUD2;NCF4;ELOC;RHEB;SEC23A;LRRK2;RPGRIP1L;BRAT1;KCTD1;ADAMTS13;MMAA;ATL1;RPGR;RIT1;FBXW7;SERPINI1;SMO;ARL6;EHMT1;GP6;DIABLO;FLRT3;CTSF;MAD2L2;APPL1;FZD4;PLAA;TPRKB;TAX1BP3;AXIN1;OGT;PSTPIP1;UGDH;PRKRA;SLIT2;A2M;PROS1;PSAP;RRAS;ANK1;LAMA2;NFKBIA;PRKAR1B;TIMP3;SERPINF1;RGS2;CDKN2A;CDKN2C;CTSK;FXYD2;ADAR;RAB10;MST1R;KEAP1;ATL3;KNL1;DOCK2;SLCO2A1;RPGRIP1;PDCD10;RRAGC;RAB18;SPINK5;PLCE1;PROCR
Extracellular Matrix Protein	AP4M1;EFEMP2;COL1A1;COL4A1;CRYAB;PMP2;PRNP;ITGB3;ITGB2;CRYGC;CRYGD;GP1BA;DMD;GP1BB;ITGB4;TSHR;ITGB6;CRYGS;FSHR;CTNNB1;FBN1;CRYBB2;COMP;CRYBA4;PLP1;JAG1;COL10A1;ADAMTS13;RTN4IP1;MYOC;TLR3;COL2A1;COL3A1;LMNA;COL1A2;COL4A2;SPARC;ENG;LAMA2;CRYBB3;CRYBB1
Hydrolase	DNM1L;TPP1;OGG1;DHH;HTRA2;TLL1;MMP20;RNASEH1;SNRNP200;RNASEH2A;ZMPSTE24;EPM2A;ETHE1;STAMBP;DDX58;F8;F2;C1R;F9;F10;PLG;REN;ADA;TF;ANG;F11;GBA;PROC;LCAT;ARG1;CFI;BCHE;GLA;HEXA;CTSD;CAPN1;PRSS1;HEXB;BPGM;GUSB;ELANE;MMP2;HMBS;MME;F7;STS;FBP1;C1S;UCHL1;GAA;UROS;F5;ACE;PEPD;UNG;ACP5;ALAD;SI;ARSB;PNLIP;GLB1;PLCG2;NAGA;CAPN3;AGA;TNFAIP3;NT5E;IDS;ENPP1;UQCRC2;CES1;CAD;PPP2R1A;GCH1;CPS1;ATIC;GALNS;CBS;ATP7B;LONP1;EIF4A3;IGHMBP2;ECE1;ASPA;MMP13;PLA2G4A;PSEN1;HINT1;DNM2;PPT1;RAB7A;SGSH;USP11;NDST1;CTSC;BLM;YARS;NAGLU;VCP;LYZ;GNB1;PSPH;OCRL;ACY1;TAP1;GBE1;ATP7A;DNM1;PTPN12;PPP3CA;HYAL1;PLA2G7;HDAC1;PKD2;DPYS;DYNC1H1;IHH;EFTUD2;SHH;KYNU;CLPP;TAF2;ADAMTS13;MMAA;PNPT1;CANT1;HTRA1;EXOSC8;OTULIN;DCPS;CRBN;PARK7;CTRC;USB1;HDAC8;IFIH1;AICDA;NT5C3A;ABCB6;ACP6;CYLD;XPNPEP3;EXOSC3;TDP1;CTSF;MALT1;SPG7;FAN1;PTRH2;SAMHD1;ST14;RS1;HP;F12;CFB;KLKB1;PTPRF;BMP1;HGF;CPA1;PGAM1;ERCC3;PROZ;AHCY;DNASE1;APEX1;PSMB8;DUT;HSPA1L;IDUA;FEN1;USP8;CTSK;FASN;ADAR;HDAC4;PTEN;RAB10;PDE4D;CHIT1;MTMR2;EXOSC2;CHD4;ASRGL1;SLX4;PCSK9;NLGN2;NCSTN;NGLY1;PNKP;ITPA;PIF1;RAB18;SMARCAL1;ADAM22;PLCE1;EXO1;AFG3L2
Isomerase	PMM2;HPRT1;GPI;P4HB;BPGM;MUT;PPIB;ECHS1;CBS;PGM1;LSS;TPI1;AUH;GALE;PTGIS;HIBCH;MRI1;PGAM1;PIN1;CWC27
Kinase	BMPR1B;PIK3CD;MAP3K7;DCX;JAK2;RP2;CDKL5;NDUFA10;PAPSS2;CHEK2;EGFR;PGK1;AK1;RAF1;PRKCG;INSR;LCK;CSF1R;RET;ROS1;PDGFRB;PRKAR1A;KIT;FGFR1;CDK4;SRC;BRAF;PHKG2;PDGFRA;PRKACA;ERBB3;FGFR4;JAK1;MAPK1;EPHA2;PKLR;AKT1;AKT2;TTK;GCK;KDR;MAP2K2;FLT3;BMPR1A;TGFBR1;PIK3CA;MTOR;ZAP70;CSNK1D;GALK1;RPS6KA3;JAK3;AK2;ALDH18A1;PRPS1;CSNK2A1;PRKDC;CDK6;MAP2K1;TEK;MVK;ACVR1;MERTK;ATM;DYRK1A;PRKG1;CDK13;PDK3;ERBB4;MYLK;STK11;FXN;MAPKAPK3;DUSP6;DGUOK;TNNI3K;LRRK2;TTBK1;COQ8A;WNK4;NEK1;VRK1;TPK1;IRAK4;CDK12;EIF2AK3;TBK1;ALK;AKT3;PLK4;DAPK3;BUB1B;ERBB2;CKM;IGF1R;PFKM;PKM;PRKCA;FLT1;HK1;FGFR2;FGFR3;TYK2;AXL;PRKAR1B;GRK5;ACVRL1;TGFBR2;KHK;HK2;EPHB4;PKD1;ROR2;MST1R;BTK;ILK;ACVR2B;BMPR2;PMVK;NTRK3;MASTL;PASK;PNKP;MAP3K14;PANK2;CHKB
Ligase	SPOP;PRKN;TRIM37;FARS2;ASS1;PCCA;PC;HARS;DARS;GLUL;LIG1;CBL;WARS;CAD;ECHS1;CPS1;BRCA1;GARS;QARS;GSS;SARS;RARS;MARS;PRPS1;CUL4B;AUH;HIBCH;DARS2;HUWE1;MIB1;UBR1;RNF125;NEDD4L;UBE2T;LARS;WARS2;POLG2;STUB1;PDZRN3;YARS2;MID1;MTHFD1;VHL;FASN;UBE2B;AIMP1;CBLB;FBXO11;UBA3;TRIM63;RNF31;UBA5;SMURF2;FANCL
Lyase	OGG1;CA12;SGPL1;MLYCD;CA1;CA2;ALDOA;ASL;ALDOB;CYP17A1;FH;UMPS;ALAD;ENO3;DDC;BCKDHB;CA4;TKT;ECHS1;ADSL;CTH;CA8;CBS;PCK1;HMGCL;INSL3;MVD;PTS;AUH;HIBCH;HOGA1;ENO2;PTHLH;FECH;APEX1;HMGCS2;GUCY1A3;ADCY10;PUS1;NFS1
Membrane Traffic Protein	SEC24D;VAPB;SYT1;SNCA;PEX5;PEX3;SNAP25;STXBP2;BBS9;VPS33A;VPS35;ATG5;CHMP2B;SNX10;DYSF;SEC24B;SNAP29;PROS1;LMAN1;LRBA;AP1S3
