HGNC ID	Gene name	UniProt Acc	Canonical Protein Isoform 	Ensembl Transcript	Protein Class	CCDS	Protein Name
HGNC:7	A2M	P01023	P01023	ENST00000318602	"Signaling molecule, Enzyme modulator, Defense/Immunity protein"	CCDS44827.1	Alpha-2-macroglobulin
HGNC:20	AARS	P49588	P49588-1	ENST00000261772	Nucleic acid-binding protein	CCDS32474.1	"Alanine--tRNA ligase, cytoplasmic"
HGNC:17366	AASS	Q9UDR5	Q9UDR5	ENST00000393376	Oxidoreductase	CCDS5783.1	"Alpha-aminoadipic semialdehyde synthase, mitochondrial"
HGNC:29	ABCA1	O95477	O95477	ENST00000374736	Transporter	CCDS6762.1	ATP-binding cassette sub-family A member 1
HGNC:47	ABCB6	Q9NP58	Q9NP58-1	ENST00000265316	"Protease, Hydrolase"	CCDS2436.1	"ATP-binding cassette sub-family B member 6, mitochondrial"
HGNC:13886	ABCG5	Q9H222	Q9H222-1	ENST00000260645	Transporter	CCDS1814.1	ATP-binding cassette sub-family G member 5
HGNC:13887	ABCG8	Q9H221	Q9H221-1	ENST00000272286	Transporter	CCDS1815.1	ATP-binding cassette sub-family G member 8
HGNC:87	ACAD8	Q9UKU7	Q9UKU7-1	ENST00000281182	"Oxidoreductase, Transferase"	CCDS8498.1	"Isobutyryl-CoA dehydrogenase, mitochondrial"
HGNC:89	ACADM	P11310	P11310-1	ENST00000370841	"Oxidoreductase, Transferase"	CCDS668.1	"Medium-chain specific acyl-CoA dehydrogenase, mitochondrial"
HGNC:90	ACADS	P16219	P16219	ENST00000242592	"Oxidoreductase, Transferase"	CCDS9207.1	"Short-chain specific acyl-CoA dehydrogenase, mitochondrial"
HGNC:91	ACADSB	P45954	P45954-1	ENST00000358776	"Oxidoreductase, Transferase"	CCDS7634.1	"Short/branched chain specific acyl-CoA dehydrogenase, mitochondrial"
HGNC:92	ACADVL	P49748	P49748-1	ENST00000356839	"Oxidoreductase, Transferase"	CCDS11090.1	"Very long-chain specific acyl-CoA dehydrogenase, mitochondrial"
HGNC:93	ACAT1	P24752	P24752-1	ENST00000265838	Transferase	CCDS8339.1	"Acetyl-CoA acetyltransferase, mitochondrial"
HGNC:25070	ACD	Q96AP0	Q96AP0-1	ENST00000393919	Nucleic acid-binding protein	CCDS42181.1	Adrenocortical dysplasia protein homolog
HGNC:2707	ACE	P12821	P12821-1	ENST00000290866	"Protease, Hydrolase"	CCDS11637.1	Angiotensin-converting enzyme
HGNC:124	ACP5	P13686	P13686	ENST00000592828	"Phosphatase, Hydrolase"	CCDS12265.1	Tartrate-resistant acid phosphatase type 5
HGNC:29609	ACP6	Q9NPH0	Q9NPH0-1	ENST00000369238	"Phosphatase, Hydrolase"	CCDS928.1	Lysophosphatidic acid phosphatase type 6
